,Course Code,Name,Req,Credits,Begin Date,End Date,Instructor,M,T,W,R,F,start_time,end_time,location
82,ENGR3299-01,Special Topics in Design Engineering : Environmental Consulting at Olin,,4,2020-01-22,2020-05-01,"Lynch, Caitrin",0,1,0,0,0,10:50:00,12:30:00,"MAIN Campus, Academic Center, AC213-Design Studio"
83,ENGR3299-01,Special Topics in Design Engineering : Environmental Consulting at Olin,,4,2020-01-22,2020-05-01,"Nugent, Carolyn",0,1,0,0,0,10:50:00,12:30:00,"MAIN Campus, Academic Center, AC213-Design Studio"
84,ENGR3299-01,Special Topics in Design Engineering : Environmental Consulting at Olin,,4,2020-01-22,2020-05-01,"Lynch, Caitrin",0,0,0,0,1,09:00:00,12:30:00,"MAIN Campus, Academic Center, AC213-Design Studio"
85,ENGR3299-01,Special Topics in Design Engineering : Environmental Consulting at Olin,,4,2020-01-22,2020-05-01,"Nugent, Carolyn",0,0,0,0,1,09:00:00,12:30:00,"MAIN Campus, Academic Center, AC213-Design Studio"
86,ENGR3370-01,Controls,,4,2020-01-22,2020-05-01,"Barragan, Patrick",0,1,0,0,0,19:00:00,22:00:00,"MAIN Campus, Academic Center, AC304-Classroom/ECE Lab"
87,ENGR3390-01,Fundamentals of Robotics,,4,2020-01-22,2020-05-01,"Barrett, David",0,1,0,0,1,09:00:00,10:40:00,"MAIN Campus, Academic Center, AC109-Classroom"
88,ENGR3392-01,Robotics Systems Integration,,4,2020-01-22,2020-05-01,"Barrett, David",0,1,0,0,1,13:30:00,15:10:00,"MAIN Campus, Academic Center, AC109-Classroom"
89,ENGR3392-01,Robotics Systems Integration,,4,2020-01-22,2020-05-01,"Dusek, Jeff",0,1,0,0,1,13:30:00,15:10:00,"MAIN Campus, Academic Center, AC109-Classroom"
90,ENGR3499-01,Special Topics in Electrical & Computer Engineering : Digital Power Conversion,,4,2020-01-22,2020-05-01,Staff,0,1,0,0,0,15:20:00,18:00:00,"MAIN Campus, Academic Center, AC304-Classroom/ECE Lab"
91,ENGR3525-01,Software Systems,,4,2020-01-22,2020-05-01,"Downey, Allen",0,1,0,0,1,13:30:00,15:10:00,"MAIN Campus, Academic Center, AC326-Classroom"
92,ENGR3531-01,Data Science,,2,2020-01-22,2020-05-01,"Downey, Allen",1,0,0,1,0,13:30:00,15:10:00,"MAIN Campus, Academic Center, AC417-Classroom"
93,ENGR3599-01,Special Topics in Computing : Programming Languages,,4,2020-01-22,2020-05-01,"Pucella, Riccardo",0,0,0,1,0,13:30:00,16:00:00,"MAIN Campus, Academic Center, AC304-Classroom/ECE Lab"
94,ENGR3599A-01,Special Topics in Computing : Data Structures and Algorithms,,4,2020-01-22,2020-05-01,"Paul, Alice",1,0,0,1,0,13:30:00,15:10:00,"MAIN Campus, Academic Center, AC309-Classroom"
95,ENGR3599B-SL,Special Topics in Computing : Advanced Algorithms,,4,2020-01-22,2020-05-01,"Paul, Alice",0,1,0,0,1,13:30:00,15:10:00,"MAIN Campus, Academic Center, AC318-Classroom"
96,ENGR3635-01,"Neurotechnology, Brains and Machines",,2,2020-01-22,2020-05-01,"Michalka, Samantha",0,0,0,0,0,01:00:00,01:00:00,"MAIN Campus, Olin Campus"
97,ENGR4190-01,SCOPE: Senior Capstone Program in Engineering,,4,2020-01-22,2020-05-01,"Ferzoco, Alessandra",0,0,1,0,0,09:00:00,18:00:00,"MAIN Campus, Olin Campus"
98,ENGR4190-02,SCOPE: Senior Capstone Program in Engineering,,4,2020-01-22,2020-05-01,"Ferzoco, Alessandra",0,0,1,0,0,09:00:00,18:00:00,"MAIN Campus, Olin Campus"
99,ENGR4190-03,SCOPE: Senior Capstone Program in Engineering,,4,2020-01-22,2020-05-01,"Sarang-Sieminski, Alisha",0,0,1,0,0,09:00:00,18:00:00,"MAIN Campus, Olin Campus"
100,ENGR4190-04,SCOPE: Senior Capstone Program in Engineering,,4,2020-01-22,2020-05-01,"Sarang-Sieminski, Alisha",0,0,1,0,0,09:00:00,18:00:00,"MAIN Campus, Olin Campus"
101,ENGR4190-05,SCOPE: Senior Capstone Program in Engineering,,4,2020-01-22,2020-05-01,"Stein, Lynn Andrea",0,0,1,0,0,09:00:00,18:00:00,"MAIN Campus, Olin Campus"
102,ENGR4190-06,SCOPE: Senior Capstone Program in Engineering,,4,2020-01-22,2020-05-01,"Sarang-Sieminski, Alisha",0,0,1,0,0,09:00:00,18:00:00,"MAIN Campus, Olin Campus"
